,TF,Coefficient,Class
1965,ENST00000361381,0.00023648367459588429,Breast_Cancer
1966,ENST00000361390,0.0001654170896604743,Breast_Cancer
1955,ENST00000361624,5.4884919219104756e-05,Breast_Cancer
1570,ENST00000374213,3.653023682096306e-05,Breast_Cancer
2008,ENST00000376630,3.020357862663339e-05,Breast_Cancer
1832,ENST00000620103,1.7755604816408038e-05,Breast_Cancer
733,ENST00000378024,1.7371209728500483e-05,Breast_Cancer
112,ENST00000592790,1.4604674633331195e-05,Breast_Cancer
425,ENST00000419304,1.3860786678699751e-05,Breast_Cancer
460,ENST00000262776,1.3133779527427803e-05,Breast_Cancer
1167,ENST00000278742,1.0522424404147488e-05,Breast_Cancer
771,ENST00000597629,1.0018905870693434e-05,Breast_Cancer
930,ENST00000323076,9.737422332881364e-06,Breast_Cancer
36,ENST00000014914,7.813121958363689e-06,Breast_Cancer
1299,ENST00000652332,6.985561561699005e-06,Breast_Cancer
