,index,Feature,Importance,Class
0,1410,ENST00000295902,0.09093758318982406,Breast_Cancer
1,1386,ENST00000356495,0.06236241351060839,Breast_Cancer
2,694,ENST00000644296,0.04515581581252173,Breast_Cancer
3,553,ENST00000265074,0.038869257950530034,Breast_Cancer
4,1815,ENST00000374392,0.03843144402149199,Breast_Cancer
5,1094,ENST00000272462,0.03802574921235852,Breast_Cancer
6,1959,ENST00000360526,0.028268551236749116,Breast_Cancer
7,1685,ENST00000367147,0.02748858587532314,Breast_Cancer
8,1636,ENST00000383168,0.027487009441468088,Breast_Cancer
9,1568,ENST00000397936,0.02450219525221963,Breast_Cancer
10,1247,ENST00000472572,0.021600864018874365,Breast_Cancer
11,2293,ENST00000811324,0.02120141342756184,Breast_Cancer
12,2297,ENST00000818842,0.02120141342756184,Breast_Cancer
13,1835,ENST00000490035,0.0176678445229682,Breast_Cancer
14,1465,ENST00000310528,0.0176678445229682,Breast_Cancer
