,index,Feature,Importance,Class
0,1943,ENST00000644296,0.24803196808817726,Breast_Cancer
1,2304,ENST00000600972,0.11553382918281127,Breast_Cancer
2,4054,ENST00000303809,0.06427320158649993,Breast_Cancer
3,43,ENST00000430479,0.03446320414912387,Breast_Cancer
4,39,ENST00000405192,0.029465597149964183,Breast_Cancer
5,2055,ENST00000289175,0.023912515873473567,Breast_Cancer
6,1756,ENST00000448277,0.012506915932005895,Breast_Cancer
7,4211,ENST00000308497,0.012490443627323782,Breast_Cancer
8,1577,ENST00000698142,0.01238364502801952,Breast_Cancer
9,2732,ENST00000438313,0.0120584428331663,Breast_Cancer
10,4946,ENST00000336128,0.011686429867765096,Breast_Cancer
11,4032,ENST00000555646,0.01082482261339015,Breast_Cancer
12,3924,ENST00000716557,0.009787359238548643,Breast_Cancer
13,592,ENST00000504921,0.00973967237262553,Breast_Cancer
14,732,ENST00000310346,0.009618763600732655,Breast_Cancer
