,TF,Coefficient,Class
2059,ENST00000361851,0.0002253457755903748,Lung_Cancer
2020,ENST00000383870,0.00012732710193158407,Lung_Cancer
1386,ENST00000356495,6.676415904870066e-05,Lung_Cancer
1329,ENST00000382051,5.3946119077165935e-05,Lung_Cancer
330,ENST00000372676,5.348774244669867e-05,Lung_Cancer
1968,ENST00000362079,4.701879867928341e-05,Lung_Cancer
829,ENST00000253719,4.5661898880327094e-05,Lung_Cancer
670,ENST00000555619,3.5135815779365536e-05,Lung_Cancer
1432,ENST00000296695,2.7743868301457328e-05,Lung_Cancer
1459,ENST00000297991,2.4772533981492117e-05,Lung_Cancer
1832,ENST00000620103,2.2129682206093572e-05,Lung_Cancer
362,ENST00000525807,1.9964374749730885e-05,Lung_Cancer
1243,ENST00000283415,1.5842113639789736e-05,Lung_Cancer
1247,ENST00000472572,1.2544410795801024e-05,Lung_Cancer
1330,ENST00000504570,1.2363253458753592e-05,Lung_Cancer
