,TF,Coefficient,Class
4889,ENST00000409115,0.004844231027904785,Lung_Cancer
3674,ENST00000621160,0.0024374016039301685,Lung_Cancer
1261,ENST00000242057,0.0014388390374286148,Lung_Cancer
2569,ENST00000498187,0.001239494449619518,Lung_Cancer
3487,ENST00000368738,0.0012147954968163243,Lung_Cancer
2460,ENST00000256495,0.0010097492156985034,Lung_Cancer
2143,ENST00000376112,0.0009750893437916467,Lung_Cancer
2091,ENST00000353609,0.0008198315378566678,Lung_Cancer
2042,ENST00000244745,0.0007824454702629628,Lung_Cancer
4084,ENST00000302754,0.0007816136238323484,Lung_Cancer
979,ENST00000377687,0.0007522467466093822,Lung_Cancer
1190,ENST00000248553,0.0007035474361662572,Lung_Cancer
3673,ENST00000618863,0.0005957677402249818,Lung_Cancer
3795,ENST00000349496,0.0005459749447433122,Lung_Cancer
4425,ENST00000371222,0.0005234805055561973,Lung_Cancer
