,TF,Coefficient,Class
1955,ENST00000361624,0.0002561994932477902,Normal_Breast
1968,ENST00000362079,0.00012922579772829898,Normal_Breast
1154,ENST00000372013,4.904935588284272e-05,Normal_Breast
1730,ENST00000357037,1.1388602543992523e-05,Normal_Breast
2023,ENST00000388825,1.0929943763185489e-05,Normal_Breast
404,ENST00000341049,8.6205054107191e-06,Normal_Breast
1900,ENST00000506651,6.765161872333708e-06,Normal_Breast
405,ENST00000393467,5.9507789615605716e-06,Normal_Breast
369,ENST00000521545,4.7843427492302854e-06,Normal_Breast
834,ENST00000253796,4.784019034769686e-06,Normal_Breast
1326,ENST00000374525,4.758420757505818e-06,Normal_Breast
831,ENST00000308423,4.366622195030512e-06,Normal_Breast
1705,ENST00000650287,4.2636524135154835e-06,Normal_Breast
1652,ENST00000406555,4.064159255645979e-06,Normal_Breast
2158,ENST00000563924,3.997473650032045e-06,Normal_Breast
