,TF,Coefficient,Class
156,ENST00000231751,0.004588716241009005,Normal_Breast
1725,ENST00000374561,0.0032288439577037114,Normal_Breast
843,ENST00000216037,0.0022162485362801163,Normal_Breast
3126,ENST00000524851,0.0021484766405938374,Normal_Breast
4998,ENST00000355968,0.0018307021830919297,Normal_Breast
1309,ENST00000225698,0.0006510133775184712,Normal_Breast
5363,ENST00000375651,0.0005301147543283853,Normal_Breast
4560,ENST00000296930,0.0005217816282540555,Normal_Breast
157,ENST00000426532,0.0004840401007635822,Normal_Breast
1602,ENST00000396290,0.00034686738590450323,Normal_Breast
3654,ENST00000298510,0.0003109516402479648,Normal_Breast
5362,ENST00000375650,0.00028898862832002346,Normal_Breast
3596,ENST00000353245,0.00010391626348399757,Normal_Breast
1679,ENST00000239461,8.389675084364117e-05,Normal_Breast
3746,ENST00000372469,7.341800299127619e-05,Normal_Breast
