,TF,Coefficient,Class
1823,ENST00000372325,0.00022218259191262682,Normal_lung
1160,ENST00000278282,0.00019376630684398466,Normal_lung
1545,ENST00000679463,0.00018452151941393755,Normal_lung
1864,ENST00000251595,0.00010602387608105027,Normal_lung
704,ENST00000428376,0.00010313565576617965,Normal_lung
2114,ENST00000335295,8.519330177921338e-05,Normal_lung
1539,ENST00000318561,7.900298546339158e-05,Normal_lung
1544,ENST00000524255,7.765646830991324e-05,Normal_lung
1711,ENST00000318602,6.847090775719977e-05,Normal_lung
2059,ENST00000361851,5.4478793769870406e-05,Normal_lung
2016,ENST00000320868,5.025371805337514e-05,Normal_lung
1985,ENST00000375076,4.457455979551713e-05,Normal_lung
615,ENST00000263734,3.645078039075917e-05,Normal_lung
771,ENST00000597629,3.4772809880272124e-05,Normal_lung
702,ENST00000398636,3.228609614368699e-05,Normal_lung
