,TF,Coefficient,Class
5359,ENST00000375076,0.006449920729613416,Normal_lung
1618,ENST00000263734,0.004065447306174217,Normal_lung
4000,ENST00000303562,0.00238859877045385,Normal_lung
981,ENST00000379359,0.002095427613591573,Normal_lung
2965,ENST00000368733,0.0018079624785552668,Normal_lung
1922,ENST00000239938,0.0012636611775669853,Normal_lung
4084,ENST00000302754,0.0008600383240274228,Normal_lung
5117,ENST00000360319,0.0007269593539747853,Normal_lung
5356,ENST00000375055,0.0006926171380899493,Normal_lung
4425,ENST00000371222,0.0004985634543854461,Normal_lung
2729,ENST00000264908,0.00043863147748835515,Normal_lung
2303,ENST00000252818,0.000406202976232974,Normal_lung
871,ENST00000216797,0.0003650677080738969,Normal_lung
5358,ENST00000375069,0.00036066189271232395,Normal_lung
392,ENST00000497571,0.00031054598346129516,Normal_lung
