,index,Feature,Importance,Class
0,1281,ENST00000284523,0.02120141342756184,Normal_lung
1,1981,ENST00000375055,0.0176678445229682,Normal_lung
2,689,ENST00000380573,0.0176678445229682,Normal_lung
3,1928,ENST00000372739,0.014134275618374558,Normal_lung
4,752,ENST00000261266,0.014134275618374558,Normal_lung
5,443,ENST00000373109,0.014134275618374558,Normal_lung
6,1256,ENST00000592179,0.014134275618374558,Normal_lung
7,1985,ENST00000375076,0.014134275618374558,Normal_lung
8,1420,ENST00000296130,0.014134275618374558,Normal_lung
9,378,ENST00000675541,0.014134275618374558,Normal_lung
10,1859,ENST00000479720,0.01060070671378092,Normal_lung
11,1144,ENST00000520615,0.01060070671378092,Normal_lung
12,2036,ENST00000359543,0.01060070671378092,Normal_lung
13,377,ENST00000324001,0.01060070671378092,Normal_lung
14,2243,ENST00000814951,0.01060070671378092,Normal_lung
