"","logFC","AveExpr","t","P.Value","adj.P.Val","B"
"ENST00000375069",-31.8634323592593,11.9745547311828,-17.3748136900201,2.13165262444313e-30,8.2425891020917e-25,57.9495685021817
"ENST00000375076",-311.774772637037,115.538167978495,-16.7833712541472,2.29505820671188e-29,4.43721963569261e-24,55.5571676867702
"ENST00000375055",-45.9361985888889,17.1277592903226,-16.3154594587301,1.55223874585618e-28,2.00071156430895e-23,53.6331209325203
"ENST00000375067",-5.86074202222222,2.20124413978495,-15.6501549181062,2.46698083985786e-27,2.3848057080822e-22,50.8496793757415
"ENST00000232975",-35.8408542925926,15.8812079354839,-15.4119875222641,6.73156071262126e-27,5.11359763395883e-22,49.8396747857176
"ENST00000506894",-4.9085758037037,1.92096997849462,-15.3731341458976,7.93470135300691e-27,5.11359763395883e-22,49.6742314252613
"ENST00000367568",-2.24392647777778,1.29709740860215,-14.9302443592467,5.24128244368131e-26,2.89525447170416e-21,47.7749990997496
"ENST00000339561",-34.5160882629629,16.2687347311828,-14.4455465364989,4.25572733652952e-25,2.05698452947486e-20,45.6686292151172
"ENST00000479720",-3.0299129074074,1.45632912903226,-13.9602748782678,3.56605037706044e-24,1.53211788400025e-19,43.5311555218381
"ENST00000284523",-1.58172971851852,0.636696698924731,-13.5410754252867,2.28886386552418e-23,8.85048724065426e-19,41.6622668535122
"ENST00000334348",-7.76112487777777,3.14746184946237,-13.5066293179862,2.66912134343574e-23,9.38259240540326e-19,41.5077940158368
"ENST00000393923",-3.55203299629629,1.8643796344086,-13.1240902175924,1.48469941248182e-22,4.78414691684018e-18,39.7833051549046
"ENST00000296130",-76.8954918962963,36.8341145591398,-12.9631511497906,3.07141031070527e-22,9.13569733309441e-18,39.0529542212696
"ENST00000183605",-86.7115617925925,34.1678925376344,-12.9431433106857,3.36258172034839e-22,9.28735463783881e-18,38.9619615805465
"ENST00000373109",-35.0916779148148,17.6305522365591,-12.7914549445397,6.69130048555845e-22,1.7249102043692e-17,38.2707164097406
"ENST00000328895",-15.834279762963,6.4855735483871,-12.6839768602091,1.09120833693106e-21,2.63715046806971e-17,37.779470820013
"ENST00000409261",-7.14174848148148,3.44340051612903,-12.5390780577242,2.11398998787566e-21,4.80840701501065e-17,37.1152995334243
"ENST00000471491",-5.55625935185185,2.61232387096774,-12.4547884735936,3.10891643669111e-21,6.32707037933669e-17,36.7279621098172
"ENST00000490489",-3.04475581111111,1.14323053763441,-12.3983314232625,4.0270142937928e-21,7.43290974784962e-17,36.4681272960092
"ENST00000451122",-5.9377678074074,3.01092291397849,-12.3978053593159,4.03674147619304e-21,7.43290974784962e-17,36.4657046839887
"ENST00000342260",-5.52913927407407,3.09409250537634,-12.3606344174421,4.78735609749653e-21,8.04850307111117e-17,36.2944573184099
"ENST00000614113",-11.7113305222222,5.0677241827957,-12.2824365078219,6.85658408596681e-21,1.06051060321012e-16,35.9337567549175
"ENST00000359543",-93.1504035185185,59.8247657849462,-12.2351659906819,8.52209980755677e-21,1.26741979430262e-16,35.7154268397514
"ENST00000382496",-10.1613139296296,6.65678697849462,-12.0866068830027,1.69032342249032e-20,2.33431249898167e-16,35.0278896611393
"ENST00000538695",-80.4223532111111,30.808166172043,-12.0156042192308,2.34666422270821e-20,3.12896115510317e-16,34.6985596824775
"ENST00000453779",-8.22710666666666,6.05750669892473,-11.9936485749999,2.59747817952961e-20,3.34794157515931e-16,34.5966298429339
"ENST00000375070",-6.38153416296295,2.35144269892473,-11.9090611226873,3.84275839814587e-20,4.64344514487954e-16,34.2035224691242
"ENST00000424970",-5.41630623333333,2.4872474516129,-11.9009304110668,3.99032227572493e-20,4.67564198875216e-16,34.1657024676107
"ENST00000305988",-9.4345719111111,6.14034235483871,-11.8433175051351,5.21246871816949e-20,5.92804868843207e-16,33.8975485700401
"ENST00000356736",-42.7676473925926,30.8062030752688,-11.6186593907958,1.48173217015435e-19,1.59152852396279e-15,32.8491642078808
"ENST00000313654",-8.81292646666666,5.02520610752688,-11.5783257304913,1.78827555128855e-19,1.86887361370284e-15,32.6604968314625
"ENST00000514923",-2.84149436296296,1.06099449462366,-11.549768866281,2.04310766129236e-19,2.0790018369418e-15,32.52683740065
"ENST00000393467",-84.2597390629629,49.3153136451613,-11.5343266811631,2.19578642282617e-19,2.17707156623778e-15,32.4545334011142
"ENST00000592179",-4.00885491481481,2.34842991397849,-11.4686137678405,2.98454369700398e-19,2.88512854645678e-15,32.1466374514963
"ENST00000787036",-1.42663961851852,0.578491924731183,-11.4557564316235,3.16938781501566e-19,2.98908829941218e-15,32.0863549527942
"ENST00000233710",-3.43950302962963,1.92616264516129,-11.4087559528361,3.94844708297733e-19,3.55406057287974e-15,31.8658806423431
"ENST00000315190",-2.39449843333333,0.915450827956989,-11.3224106725815,5.9154164062189e-19,5.08813150247825e-15,31.4604039765826
"ENST00000264399",-1.06426971481481,0.536005419354839,-11.322195263014,5.92138942193261e-19,5.08813150247825e-15,31.4593917138714
"ENST00000550268",-2.13693816666666,1.07340459139785,-11.2971921425868,6.65747193238138e-19,5.36309295192813e-15,31.3418724896158
"ENST00000846530",-1.30801798148148,0.541094838709677,-11.2894625916445,6.9031084813426e-19,5.44748239822782e-15,31.305532843791
"ENST00000396595",-25.8415052592593,11.4984261612903,-11.2833547720119,7.10362590127967e-19,5.49360329800643e-15,31.2768144848664
"ENST00000649564",-3.91789784074074,1.59552668817204,-11.175392823967,1.17895426274544e-18,8.60138336795011e-15,30.7687425417676
"ENST00000357867",-35.8078133592592,17.4525123225806,-11.0625223478255,2.00414159948431e-18,1.38384545914678e-14,30.2366964269289
"ENST00000372739",-10.1334084074074,6.0508456344086,-10.9648080206497,3.17500252140105e-18,2.10787339198834e-14,29.7754038397443
"ENST00000687600",-3.99652395185185,3.0501826344086,-10.9608844015898,3.23425020893553e-18,2.10787339198834e-14,29.7568681917223
"ENST00000392870",-7.53800014814814,5.73249497849462,-10.9585023833223,3.27075907269395e-18,2.10787339198834e-14,29.7456147729084
"ENST00000465093",-8.8165041148148,5.39346192473118,-10.9087408061405,4.13549628406758e-18,2.62147075596413e-14,29.510443274058
"ENST00000380036",-10.0413704037037,5.92962668817204,-10.8309255879044,5.97020078542233e-18,3.67254244489748e-14,29.1423850977846
"ENST00000397760",-7.97794233703703,6.69093611827957,-10.8304519071467,5.98356696636309e-18,3.67254244489748e-14,29.1401435177038
"ENST00000275262",-3.92437618148148,2.69287502150538,-10.7990682130768,6.93940837745047e-18,4.1926604277485e-14,28.9915982223735
"ENST00000013222",-82.2806222740741,41.3057054516129,-10.735363619145,9.37678750080784e-18,5.33202747597407e-14,28.6898960384726
"ENST00000373789",-26.5222869666667,10.8728448602151,-10.6852310996647,1.18853474360617e-17,6.56539800740942e-14,28.4523098955904
"ENST00000521315",-259.485481618519,119.669315569892,-10.6333867302191,1.51899267781056e-17,8.27264806598701e-14,28.2064672263175
"ENST00000513834",-3.77738226296295,2.43681937634409,-10.6243841552544,1.58512582911541e-17,8.39630294656208e-14,28.163763054991
"ENST00000304141",-57.7148088222222,29.7091412365591,-10.5539648718062,2.21262230136224e-17,1.15617289324533e-13,27.8295815715617
"ENST00000368029",-4.95552144074074,1.9003896344086,-10.4822752992486,3.10806001222654e-17,1.60241628438361e-13,27.4891188457048
"ENST00000377918",-5.98503906296296,4.33686724731183,-10.4425227196751,3.7529932512414e-17,1.88466547846366e-13,27.3002238937985
"ENST00000650808",-1.53139503333333,0.915541903225806,-10.3892100990142,4.83343681311806e-17,2.39612052967851e-13,27.0467824048622
"ENST00000380573",-1.81241426666667,0.805424,-10.3545891344019,5.69697521403211e-17,2.75360448482635e-13,26.8821322427445
"ENST00000635976",-1.21097339259259,0.700624193548387,-10.3507697819477,5.80124778822027e-17,2.76938677747884e-13,26.8639650739995
"ENST00000222693",-48.1954418,36.7472482903226,-10.346995065458,5.90618100421603e-17,2.78509566583688e-13,26.8460096205524
"ENST00000261266",-14.8287940814815,7.65117294623656,-10.3434731142633,6.00580237886334e-17,2.79795137427634e-13,26.8292559766505
"ENST00000525107",-6.97586386666666,5.18613319354839,-10.3332428015555,6.30482909730144e-17,2.90229297146206e-13,26.7805882655515
"ENST00000612121",-5.74960849259259,2.77509217204301,-10.3233430020013,6.60839449391163e-17,3.00624417567973e-13,26.7334887677897
"ENST00000504154",-16.7216737666667,10.0907552258065,-10.3127643961597,6.94898251810407e-17,3.1244241443842e-13,26.6831553476023
"ENST00000427482",-1.02078288888889,0.454923462365591,-10.2809074928055,8.0846434046665e-17,3.56249236839348e-13,26.5315518530467
"ENST00000240335",-1.46374586666666,0.912538311827957,-10.2803122540192,8.10754555283043e-17,3.56249236839348e-13,26.5287187955405
"ENST00000683648",-3.77145266296296,2.36740449462366,-10.2724780244203,8.41510105663762e-17,3.65608720918698e-13,26.4914302493818
"ENST00000258187",-2.77411928888889,1.37223234408602,-10.2526734423788,9.24574135445377e-17,3.92868822414809e-13,26.3971559110138
"ENST00000459638",-2.79890272962963,2.11447959139785,-10.2399742075143,9.82111428843585e-17,4.12781433542959e-13,26.3366967989203
"ENST00000564866",-31.9536364925926,26.1474196021505,-10.2080415898643,1.14315014820872e-16,4.75299706138447e-13,26.1846440206773
