sample,fastq_1,fastq_2,strandedness
SRR14136826_Normal_lung,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR14136826/SRR14136826_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR14136826/SRR14136826_2.fastq.gz,auto
SRR14136828_Normal_lung,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR14136828/SRR14136828_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR14136828/SRR14136828_2.fastq.gz,auto
SRR31822305_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR31822305/SRR31822305_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR31822305/SRR31822305_2.fastq.gz,auto
SRR31822394_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR31822394/SRR31822394_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR31822394/SRR31822394_2.fastq.gz,auto
SRR31822425_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR31822425/SRR31822425_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR31822425/SRR31822425_2.fastq.gz,auto
SRR31822477_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR31822477/SRR31822477_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR31822477/SRR31822477_2.fastq.gz,auto
SRR33242436_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR33242436/SRR33242436_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR33242436/SRR33242436_2.fastq.gz,auto
SRR33242442_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR33242442/SRR33242442_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR33242442/SRR33242442_2.fastq.gz,auto
SRR32369880_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32369880/SRR32369880_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32369880/SRR32369880_2.fastq.gz,auto
SRR32369879_Normal_Breast,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32369879/SRR32369879_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32369879/SRR32369879_2.fastq.gz,auto
SRR32369878_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32369878/SRR32369878_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32369878/SRR32369878_2.fastq.gz,auto
SRR32369877_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32369877/SRR32369877_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32369877/SRR32369877_2.fastq.gz,auto
SRR32839954_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839954/SRR32839954_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839954/SRR32839954_2.fastq.gz,auto
SRR32839956_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839956/SRR32839956_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839956/SRR32839956_2.fastq.gz,auto
SRR32839958_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839958/SRR32839958_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839958/SRR32839958_2.fastq.gz,auto
SRR32839960_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839960/SRR32839960_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839960/SRR32839960_2.fastq.gz,auto
SRR32839962_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839962/SRR32839962_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839962/SRR32839962_2.fastq.gz,auto
SRR32839964_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839964/SRR32839964_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839964/SRR32839964_2.fastq.gz,auto
SRR32839966_Breast_Cancer,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839966/SRR32839966_1.fastq.gz,/scratch/by2372/Transcriptomics_Final_Project/SRA_files/SRR32839966/SRR32839966_2.fastq.gz,auto
